P,34,1,132
P,73,1,144
P,25,1,138
P,222,1,136
P,188,1,106
P,38,1,99
P,40,1,16
P,223,1,77
P,217,1,132
P,26,1,109
P,234,1,53
P,77,1,145
P,78,1,18
P,188,1,61
P,65,1,119
P,178,1,118
P,189,1,59
P,17,1,117
P,203,1,51
P,197,1,136
P,170,1,12
P,181,1,120
P,221,1,48
P,74,1,61
P,30,1,94
P,29,1,101
P,181,1,109
P,188,1,57
P,60,1,60
P,155,1,53
P,219,1,96
P,227,1,34
P,148,1,47
P,97,1,119
P,34,1,110
P,75,1,145
P,218,1,45
P,42,1,140
P,186,1,52
P,27,1,39
P,89,1,138
P,231,1,53
P,229,1,50
P,227,1,108
P,153,1,31
P,214,1,19
P,161,1,128
P,20,1,111
P,86,1,121
P,23,1,78
P,191,1,104
P,25,1,111
P,182,1,98
P,66,1,119
P,156,1,127
P,154,1,118
P,210,1,137
P,56,1,105
P,75,1,143
P,76,1,11
P,176,1,62
P,229,1,143
P,62,1,60
P,165,1,12
P,106,1,46
P,183,1,100
P,91,1,126
P,186,1,119
P,93,1,123
P,24,1,140
P,31,1,132
P,222,1,95
P,54,1,122
P,154,1,123
P,38,1,143
P,229,1,97
P,185,1,100
P,38,1,19
P,227,1,127
P,233,1,145
P,181,1,106
P,228,1,16
P,234,1,116
P,29,1,46
P,70,1,141
P,192,1,134
P,229,1,137
P,227,1,141
P,25,1,34
P,47,1,52
P,24,1,100
P,163,1,118
P,182,1,116
P,163,1,141
P,192,1,104
P,191,1,121
P,92,1,129
P,18,1,108
P,23,1,110
P,215,1,34
P,221,1,82
P,42,1,135
P,77,1,146
P,166,1,139
P,186,1,144
P,231,1,38
P,81,1,11
P,86,1,10
P,210,1,97
P,27,1,43
P,13,1,118
P,26,1,138
P,164,1,137
P,181,1,116
P,17,1,145
P,222,1,128
P,209,1,145
P,23,1,89
P,25,1,87
P,39,1,49
P,70,1,109
P,222,1,107
P,34,1,33
P,28,1,53
P,221,1,96
P,91,1,138
P,224,1,48
P,221,1,101
P,206,1,141
P,188,1,110
P,52,1,137
P,223,1,133
P,24,1,105
P,172,1,58
P,95,1,42
P,25,1,86
P,23,1,137
P,63,1,111
P,62,1,58
P,77,1,14
P,97,1,127
P,36,1,94
P,40,1,139
P,25,1,100
P,39,1,142
P,188,1,52
P,63,1,57
P,187,1,60
P,205,1,141
P,168,1,17
P,102,1,49
P,230,1,145
P,78,1,19
P,41,1,51
P,223,1,35
P,177,1,61
P,170,1,147
P,20,1,126
P,222,1,43
P,101,1,41
P,87,1,130
P,231,1,125
P,28,1,96
P,215,1,19
P,76,1,104
P,179,1,98
P,154,1,54
P,167,1,138
P,196,1,137
P,63,1,103
P,179,1,109
P,216,1,85
P,213,1,143
P,218,1,33
P,221,1,88
P,83,1,8
P,84,1,17
P,229,1,140
P,40,1,145
P,65,1,118
P,153,1,125
P,167,1,141
P,170,1,146
P,24,1,89
P,32,1,130
P,190,1,108
P,63,1,110
P,64,1,114
P,217,1,82
P,72,1,116
P,222,1,42
P,189,1,120
P,35,1,17
P,74,1,105
P,149,1,49
P,180,1,117
P,154,1,120
P,232,1,32
P,235,1,140
P,193,1,59
P,37,1,32
P,40,1,48
P,209,1,143
P,226,1,33
P,71,1,58
P,224,1,18
P,22,1,34
P,199,1,136
P,23,1,142
P,221,1,45
P,159,1,50
P,87,1,118
P,15,1,109
P,235,1,144
P,225,1,134
P,213,1,45
P,207,1,52
P,208,1,140
P,89,1,136
P,34,1,82
P,24,1,16
P,77,1,144
P,25,1,94
P,172,1,106
P,220,1,81
P,209,1,49
P,210,1,141
P,24,1,141
P,228,1,89
P,174,1,62
P,41,1,136
P,220,1,94
P,186,1,104
P,190,1,109
P,76,1,18
P,54,1,136
